,trade_date,Close_to_Close_Vol,EWMA_Vol,Parkinson_Vol,Garman_Klass_Vol,Rogers_Satchell_Vol,Yang_Zhang_Vol
0,2015-03-30,,0.42173805,,,,
1,2015-03-31,,0.4957446,,,,
2,2015-04-01,,0.47349958,,,,
3,2015-04-02,,0.51646006,,,,
4,2015-04-03,,0.46305252,,,,
5,2015-04-07,,0.42059815,,,,
6,2015-04-08,,0.41913363,,,,
7,2015-04-09,,0.38620891,,,,
8,2015-04-10,,0.35830083,,,,
9,2015-04-13,,0.33671804,,,,
10,2015-04-14,,0.33952444,,,,
11,2015-04-15,,0.33280178,,,,
12,2015-04-16,,0.31631586,,,,
13,2015-04-17,,0.30039785,,,,
14,2015-04-20,,0.2859767,,,,
15,2015-04-21,,0.27299518,,,,
16,2015-04-22,,0.26103086,,,,
17,2015-04-23,,0.2501288,,,,
18,2015-04-24,,0.25729585,,,,
19,2015-04-27,,0.29908278,,,,
20,2015-04-28,,0.29108882,,,,
21,2015-04-29,0.31494802,0.28826607,0.25004514,,0.24225797,
22,2015-04-30,0.34002487,0.3507859,0.26671223,0.23425584,0.24212491,0.31041391
23,2015-05-04,0.31319916,0.34307533,0.25864285,0.23125264,0.23773462,0.31355779
24,2015-05-05,0.29118143,0.33002569,0.25752805,0.23637281,0.237565,0.3014092
25,2015-05-06,0.30616525,0.38252286,0.25152525,0.21836151,0.23223836,0.31059888
26,2015-05-07,0.31001298,0.36956981,0.25897889,0.23087381,0.2420065,0.31398916
27,2015-05-08,0.30654456,0.35584107,0.26606738,0.24251482,0.2554385,0.32634803
28,2015-05-11,0.28411489,0.34787193,0.26827198,0.25012532,0.25501113,0.31466234
29,2015-05-12,0.30029246,0.34602095,0.27518153,0.25694275,0.26407339,0.32111322
30,2015-05-13,0.3005648,0.33359534,0.2773658,0.26021783,0.26613395,0.32377339
31,2015-05-14,0.31604632,0.33386205,0.28963069,0.27493471,0.28337718,0.33818753
32,2015-05-15,0.29894397,0.32353888,0.28896956,0.27763683,0.28447429,0.33923441
33,2015-05-18,0.30601778,0.31809188,0.2857653,0.27370763,0.2841574,0.33969197
34,2015-05-19,0.31883014,0.3183513,0.28826387,0.27441727,0.28535401,0.34048164
35,2015-05-20,0.3521396,0.34741364,0.29486443,0.27192613,0.28560194,0.34910405
36,2015-05-21,0.3551747,0.33944219,0.2973279,0.27453581,0.29028039,0.36281187
